Date,SVXY_adj_close_price,VXX_adj_close_price,^GSPC_adj_close_price,^VIX_adj_close_price,SVXY_adj_open_price,VXX_adj_open_price
02/11/2013,88.15,1446.4,1517.01,12.94,87.28,1466.24
02/12/2013,89.3,1431.68,1519.43,12.64,88.72,1444.48
02/13/2013,88.98,1439.36,1520.33,12.98,89.6,1428.48
02/14/2013,90.23,1418.24,1521.38,12.66,88.48,1448.96
02/15/2013,90.93,1405.76,1519.79,12.46,91.24,1404.16
02/19/2013,94.74,1345.28,1530.94,12.31,91.56,1394.56
02/20/2013,85.51,1461.12,1511.95,14.68,94.46,1350.4
02/21/2013,84.72,1489.28,1502.42,15.22,86.21,1462.4
02/22/2013,87.58,1438.72,1515.6,14.17,86.81,1453.44
02/25/2013,75.34,1635.84,1487.85,18.99,90.61,1389.44
02/26/2013,76.62,1595.52,1496.94,16.87,75.72,1617.92
02/27/2013,81.51,1489.28,1515.99,14.73,76.11,1607.04
02/28/2013,79.12,1534.08,1514.68,15.51,81.82,1483.52
03/01/2013,77.9,1556.99,1518.2,15.36,75.61,1602.56
03/04/2013,81.93,1475.84,1525.2,14.01,76.77,1577.6
03/05/2013,84.57,1425.92,1539.79,13.48,84.55,1426.55
03/06/2013,84.04,1432.96,1541.46,13.53,85.48,1409.92
03/07/2013,85.82,1403.39,1544.26,13.06,84.37,1427.2
03/08/2013,86.95,1384.32,1551.18,12.59,87.29,1379.2
03/11/2013,90.59,1326.72,1556.22,11.56,86.97,1382.4
03/12/2013,88.99,1347.2,1552.48,12.27,90.26,1329.28
03/13/2013,89.49,1339.52,1554.52,11.83,89.46,1342.08
03/14/2013,91.17,1313.92,1563.23,11.3,90.7,1322.24
03/15/2013,91.25,1312.64,1560.7,11.3,90.85,1319.68
03/18/2013,86.53,1380.96,1552.1,13.36,85.42,1397.12
03/19/2013,86.15,1381.12,1548.34,14.39,88.42,1351.68
03/20/2013,91.01,1308.29,1558.71,12.67,89.41,1334.4
03/21/2013,88.28,1345.28,1545.8,13.99,88.71,1342.72
03/22/2013,88.57,1340.8,1556.89,13.57,89.9,1323.52
03/25/2013,89.39,1323.52,1551.69,13.74,90.84,1308.16
03/26/2013,91.98,1288.96,1563.77,12.77,91.23,1301.76
03/27/2013,91.26,1301.76,1562.85,13.15,89.88,1319.68
03/28/2013,91.08,1296,1569.19,12.7,91.51,1296.64
04/01/2013,91.18,1300.48,1562.17,13.58,91.93,1290.24
04/02/2013,94.06,1260.16,1570.25,12.78,92.54,1280
04/03/2013,90.61,1304.96,1553.69,14.21,94.18,1257.6
04/04/2013,92.15,1281.92,1559.98,13.89,90.8,1301.76
04/05/2013,91.79,1287.17,1553.28,13.92,86.94,1356.16
04/08/2013,94.11,1251.2,1563.07,13.19,92.39,1276.8
04/09/2013,95.42,1234.56,1568.61,12.84,94.88,1240.32
04/10/2013,97.81,1202.56,1587.73,12.36,96.5,1219.84
04/11/2013,98.35,1196.8,1593.37,12.24,98.37,1196.8
04/12/2013,100.1,1174.4,1588.85,12.06,97.3,1211.52
04/15/2013,88.5,1313.28,1552.36,17.27,99.5,1183.36
04/16/2013,92.45,1209.6,1574.57,13.96,89.65,1256.32
04/17/2013,82.44,1348.48,1552.01,16.51,89.16,1256.32
04/18/2013,78.21,1410.56,1541.61,17.56,82.13,1347.2
04/19/2013,83.37,1308.16,1555.25,14.97,79.23,1389.44
04/22/2013,85.64,1279.36,1562.5,14.39,83.36,1315.84
04/23/2013,89.79,1214.72,1578.78,13.48,88.41,1239.04
04/24/2013,89.73,1218.56,1578.79,13.61,89.87,1217.92
04/25/2013,88.66,1232,1585.16,13.62,90.62,1206.4
04/26/2013,88.59,1231.37,1582.24,13.61,87.64,1246.08
04/29/2013,89.07,1225.73,1593.61,13.71,90,1212.16
04/30/2013,89.98,1214.08,1597.57,13.52,89.07,1224.32
05/01/2013,86.04,1265.28,1582.7,14.49,89,1224.32
05/02/2013,89.14,1223.04,1597.59,13.59,87.6,1244.8
05/03/2013,91.05,1196.03,1614.42,12.85,91.14,1194.88
05/06/2013,92.57,1176.32,1617.5,12.66,91.05,1194.24
05/07/2013,93.3,1164.16,1625.96,12.83,93.82,1159.04
05/08/2013,92.79,1171.84,1632.69,12.66,92.58,1175.68
05/09/2013,91.02,1193.09,1626.67,13.13,92.04,1182.72
05/10/2013,91.87,1181.44,1633.7,12.59,90.49,1201.28
05/13/2013,92.57,1176.32,1633.77,12.55,91.88,1182.72
